time_ps,potential,temperature,pressure,constr._rmsd,box-x,box-z,density
286.000000,-1008135.625000000,311.216583000,-82.030037000,0.000004000,9.266460000,12.241202000,1017.375122000
288.000000,-1008782.312500000,308.354523000,32.410461000,0.000004000,9.267839000,12.229982000,1018.005371000
290.000000,-1006718.187500000,311.767029000,2.801220000,0.000004000,9.260923000,12.238267000,1018.836243000
292.000000,-1007086.875000000,312.052399000,-175.390320000,0.000004000,9.260487000,12.254495000,1017.583069000
294.000000,-1005681.000000000,310.800842000,-148.979431000,0.000004000,9.262610000,12.257759000,1016.845581000
296.000000,-1006454.812500000,311.605072000,-26.132906000,0.000004000,9.259380000,12.253708000,1017.891602000
298.000000,-1007871.000000000,311.683716000,178.267578000,0.000004000,9.253552000,12.252579000,1019.268005000
300.000000,-1008359.062500000,310.532379000,-2.206459000,0.000004000,9.250190000,12.247952000,1020.394531000
302.000000,-1007520.812500000,308.911865000,12.452662000,0.000004000,9.253827000,12.244285000,1019.897949000
304.000000,-1008054.000000000,310.704041000,-60.205215000,0.000004000,9.259478000,12.254136000,1017.834656000
306.000000,-1008527.375000000,310.429230000,-168.943344000,0.000004000,9.263550000,12.260381000,1016.422058000
308.000000,-1004380.000000000,308.703613000,-54.396046000,0.000004000,9.259382000,12.274496000,1016.167236000
310.000000,-1007600.812500000,308.343201000,6.594312000,0.000004000,9.256961000,12.258924000,1017.990479000
312.000000,-1008601.625000000,309.627563000,0.434245000,0.000004000,9.258226000,12.268587000,1016.910645000
314.000000,-1007573.500000000,308.215210000,-9.816205000,0.000004000,9.261394000,12.266110000,1016.420410000
316.000000,-1011515.062500000,310.407013000,-24.765099000,0.000004000,9.254065000,12.262951000,1018.293274000
318.000000,-1006477.875000000,310.415741000,-55.400043000,0.000004000,9.257412000,12.253148000,1018.371033000
320.000000,-1006218.875000000,309.713501000,-82.907097000,0.000004000,9.259328000,12.262229000,1017.195801000
322.000000,-1008251.125000000,310.335571000,-19.156677000,0.000004000,9.257450000,12.279790000,1016.153259000
324.000000,-1007707.250000000,309.524506000,-105.772461000,0.000004000,9.253614000,12.276308000,1017.284241000
326.000000,-1008509.937500000,309.187317000,-132.117615000,0.000004000,9.252342000,12.271178000,1017.989380000
328.000000,-1010782.750000000,308.471252000,52.306580000,0.000004000,9.248660000,12.276581000,1018.351868000
330.000000,-1008883.250000000,308.039154000,-11.906686000,0.000004000,9.249568000,12.272986000,1018.450134000
332.000000,-1005821.562500000,309.217041000,157.119614000,0.000004000,9.248396000,12.264339000,1019.426453000
334.000000,-1007953.562500000,311.225861000,56.015362000,0.000004000,9.253904000,12.278396000,1017.047546000
336.000000,-1006585.000000000,311.797699000,23.072702000,0.000004000,9.247077000,12.276893000,1018.674683000
338.000000,-1006611.687500000,313.287415000,-132.530899000,0.000004000,9.242935000,12.267213000,1020.392273000
340.000000,-1004700.250000000,310.965607000,-105.596107000,0.000004000,9.242967000,12.273389000,1019.871826000
342.000000,-1006853.625000000,310.007904000,237.028976000,0.000004000,9.238667000,12.279916000,1020.278809000
344.000000,-1005595.812500000,310.611572000,95.948601000,0.000004000,9.247328000,12.274071000,1018.853577000
346.000000,-1008850.562500000,311.357544000,114.078545000,0.000004000,9.244240000,12.279044000,1019.121399000
348.000000,-1010244.250000000,310.970367000,-75.234306000,0.000004000,9.251912000,12.291755000,1016.379822000
350.000000,-1008237.500000000,309.845764000,6.465210000,0.000004000,9.242243000,12.293010000,1018.403564000
352.000000,-1007316.812500000,309.584381000,242.451859000,0.000004000,9.236925000,12.302631000,1018.779114000
354.000000,-1007456.187500000,309.235870000,-6.276772000,0.000004000,9.236107000,12.287359000,1020.226135000
356.000000,-1008405.312500000,310.697510000,9.896119000,0.000004000,9.233016000,12.307058000,1019.275208000
358.000000,-1008266.375000000,310.035858000,-105.304268000,0.000004000,9.231423000,12.308210000,1019.531555000
360.000000,-1006345.687500000,312.248169000,-43.290943000,0.000004000,9.232555000,12.318743000,1018.409973000
362.000000,-1007633.000000000,310.859833000,-141.033691000,0.000004000,9.238173000,12.314167000,1017.549744000
364.000000,-1005747.312500000,310.714691000,31.747976000,0.000004000,9.237127000,12.307312000,1018.347107000
366.000000,-1006847.750000000,309.417572000,-180.593018000,0.000004000,9.239015000,12.310223000,1017.690430000
368.000000,-1007578.437500000,309.441589000,200.252762000,0.000004000,9.233729000,12.316730000,1018.317505000
